source,file,path,year,month,date
Landsat,landsat_monthly_1990_01.tif,GEE_exports_monthly_composites/landsat_monthly_1990_01.tif,1990,1,1990-01-01
Landsat,landsat_monthly_1990_02.tif,GEE_exports_monthly_composites/landsat_monthly_1990_02.tif,1990,2,1990-02-01
Landsat,landsat_monthly_1990_03.tif,GEE_exports_monthly_composites/landsat_monthly_1990_03.tif,1990,3,1990-03-01
Landsat,landsat_monthly_1990_04.tif,GEE_exports_monthly_composites/landsat_monthly_1990_04.tif,1990,4,1990-04-01
Landsat,landsat_monthly_1990_06.tif,GEE_exports_monthly_composites/landsat_monthly_1990_06.tif,1990,6,1990-06-01
Landsat,landsat_monthly_1990_07.tif,GEE_exports_monthly_composites/landsat_monthly_1990_07.tif,1990,7,1990-07-01
Landsat,landsat_monthly_1990_09.tif,GEE_exports_monthly_composites/landsat_monthly_1990_09.tif,1990,9,1990-09-01
Landsat,landsat_monthly_1990_10.tif,GEE_exports_monthly_composites/landsat_monthly_1990_10.tif,1990,10,1990-10-01
Landsat,landsat_monthly_1990_12.tif,GEE_exports_monthly_composites/landsat_monthly_1990_12.tif,1990,12,1990-12-01
Landsat,landsat_monthly_1991_01.tif,GEE_exports_monthly_composites/landsat_monthly_1991_01.tif,1991,1,1991-01-01
Landsat,landsat_monthly_1991_02.tif,GEE_exports_monthly_composites/landsat_monthly_1991_02.tif,1991,2,1991-02-01
Landsat,landsat_monthly_1991_03.tif,GEE_exports_monthly_composites/landsat_monthly_1991_03.tif,1991,3,1991-03-01
Landsat,landsat_monthly_1991_04.tif,GEE_exports_monthly_composites/landsat_monthly_1991_04.tif,1991,4,1991-04-01
Landsat,landsat_monthly_1991_05.tif,GEE_exports_monthly_composites/landsat_monthly_1991_05.tif,1991,5,1991-05-01
Landsat,landsat_monthly_1991_06.tif,GEE_exports_monthly_composites/landsat_monthly_1991_06.tif,1991,6,1991-06-01
Landsat,landsat_monthly_1991_07.tif,GEE_exports_monthly_composites/landsat_monthly_1991_07.tif,1991,7,1991-07-01
Landsat,landsat_monthly_1991_08.tif,GEE_exports_monthly_composites/landsat_monthly_1991_08.tif,1991,8,1991-08-01
Landsat,landsat_monthly_1991_09.tif,GEE_exports_monthly_composites/landsat_monthly_1991_09.tif,1991,9,1991-09-01
Landsat,landsat_monthly_1991_10.tif,GEE_exports_monthly_composites/landsat_monthly_1991_10.tif,1991,10,1991-10-01
Landsat,landsat_monthly_1991_12.tif,GEE_exports_monthly_composites/landsat_monthly_1991_12.tif,1991,12,1991-12-01
Landsat,landsat_monthly_1992_01.tif,GEE_exports_monthly_composites/landsat_monthly_1992_01.tif,1992,1,1992-01-01
Landsat,landsat_monthly_1992_03.tif,GEE_exports_monthly_composites/landsat_monthly_1992_03.tif,1992,3,1992-03-01
Landsat,landsat_monthly_1992_04.tif,GEE_exports_monthly_composites/landsat_monthly_1992_04.tif,1992,4,1992-04-01
Landsat,landsat_monthly_1992_05.tif,GEE_exports_monthly_composites/landsat_monthly_1992_05.tif,1992,5,1992-05-01
Landsat,landsat_monthly_1992_07.tif,GEE_exports_monthly_composites/landsat_monthly_1992_07.tif,1992,7,1992-07-01
Landsat,landsat_monthly_1992_09.tif,GEE_exports_monthly_composites/landsat_monthly_1992_09.tif,1992,9,1992-09-01
Landsat,landsat_monthly_1992_10.tif,GEE_exports_monthly_composites/landsat_monthly_1992_10.tif,1992,10,1992-10-01
Landsat,landsat_monthly_1992_11.tif,GEE_exports_monthly_composites/landsat_monthly_1992_11.tif,1992,11,1992-11-01
Landsat,landsat_monthly_1992_12.tif,GEE_exports_monthly_composites/landsat_monthly_1992_12.tif,1992,12,1992-12-01
Landsat,landsat_monthly_1993_01.tif,GEE_exports_monthly_composites/landsat_monthly_1993_01.tif,1993,1,1993-01-01
Landsat,landsat_monthly_1993_02.tif,GEE_exports_monthly_composites/landsat_monthly_1993_02.tif,1993,2,1993-02-01
Landsat,landsat_monthly_1993_04.tif,GEE_exports_monthly_composites/landsat_monthly_1993_04.tif,1993,4,1993-04-01
Landsat,landsat_monthly_1993_06.tif,GEE_exports_monthly_composites/landsat_monthly_1993_06.tif,1993,6,1993-06-01
Landsat,landsat_monthly_1993_07.tif,GEE_exports_monthly_composites/landsat_monthly_1993_07.tif,1993,7,1993-07-01
Landsat,landsat_monthly_1993_08.tif,GEE_exports_monthly_composites/landsat_monthly_1993_08.tif,1993,8,1993-08-01
Landsat,landsat_monthly_1993_09.tif,GEE_exports_monthly_composites/landsat_monthly_1993_09.tif,1993,9,1993-09-01
Landsat,landsat_monthly_1993_10.tif,GEE_exports_monthly_composites/landsat_monthly_1993_10.tif,1993,10,1993-10-01
Landsat,landsat_monthly_1993_11.tif,GEE_exports_monthly_composites/landsat_monthly_1993_11.tif,1993,11,1993-11-01
Landsat,landsat_monthly_1993_12.tif,GEE_exports_monthly_composites/landsat_monthly_1993_12.tif,1993,12,1993-12-01
Landsat,landsat_monthly_1994_01.tif,GEE_exports_monthly_composites/landsat_monthly_1994_01.tif,1994,1,1994-01-01
Landsat,landsat_monthly_1994_02.tif,GEE_exports_monthly_composites/landsat_monthly_1994_02.tif,1994,2,1994-02-01
Landsat,landsat_monthly_1994_04.tif,GEE_exports_monthly_composites/landsat_monthly_1994_04.tif,1994,4,1994-04-01
Landsat,landsat_monthly_1994_05.tif,GEE_exports_monthly_composites/landsat_monthly_1994_05.tif,1994,5,1994-05-01
Landsat,landsat_monthly_1994_06.tif,GEE_exports_monthly_composites/landsat_monthly_1994_06.tif,1994,6,1994-06-01
Landsat,landsat_monthly_1994_07.tif,GEE_exports_monthly_composites/landsat_monthly_1994_07.tif,1994,7,1994-07-01
Landsat,landsat_monthly_1994_10.tif,GEE_exports_monthly_composites/landsat_monthly_1994_10.tif,1994,10,1994-10-01
Landsat,landsat_monthly_1994_11.tif,GEE_exports_monthly_composites/landsat_monthly_1994_11.tif,1994,11,1994-11-01
